OBJECTID,ID,SUBNBHD,NHBD,DISTANCE,NBHD_NUM,NHBD_NO,DESCRIPTIO,SUBNBHD_NU,Shape_Length,Shape_Area,Shape_Length0,Shape_Area0
1,,L,039,,039 L,39,,,4122.89749373266,781973.648871955,4122.89749407896,781973.650870829
2,,J,039,,039 J,39,,,4364.93382344285,582309.623250641,4364.9338110612,582309.622736561
3,,B,039,,039 B,39,,,2991.1521950471,488574.40080526,2991.15218975409,488574.401423252
4,,K,039,,039 K,39,,,4895.56555981589,877456.958105818,4895.56556192245,877456.959016052
5,,F,039,,039 F,39,,,3383.23967081099,442025.732595954,3383.23964283557,442025.73343262
6,,G,039,,039 G,39,,,3342.16536325548,401505.539690115,3342.16537481316,401505.539540481
7,,H,039,,039 H,39,,,3546.24729291857,486528.827690852,3546.24730363442,486528.825476002
8,,M,039,,039 M,39,,,2894.73814767928,340664.768236012,2894.73816322589,340664.766567268
9,,A,039,,039 A,39,,,3120.42479385792,512768.201428421,3120.42480618146,512768.201602607
10,,E,039,,039 E,39,,,8081.39921702697,1506864.68619004,8081.39926782876,1506864.68790735
11,,C,009,,009 C,9,,,3508.2370117211,464501.564822239,3508.23699981203,464501.56412753
12,,B,009,,009 B,9,,,3660.13905355239,579895.119502906,3660.13906789762,579895.116804642
13,,A,009,,009 A,9,,,4402.35507632728,733580.500534244,4402.35507056447,733580.500245514
14,,A,030,,030 A,30,,,2234.55419875569,237056.768142771,2234.55421578539,237056.768960816
15,,B,030,,030 B,30,,,2639.04077740624,408984.396223236,2639.04077995613,408984.395165964
16,,C,030,,030 C,30,,,3475.05338363794,466869.295213637,3475.05337223666,466869.296434131
17,,A,041,,041 A,41,,,2980.91713966409,319360.258443332,2980.91714389544,319360.257392354
18,,B,041,,041 B,41,,,7737.34940098936,1202018.07197822,7737.3494268078,1202018.07286159
19,,A,019,,019 A,19,,,2173.59434251143,225059.593934183,2173.59435395724,225059.592001201
20,,B,019,,019 B,19,,,4132.90143555178,834768.358884246,4132.90143383537,834768.361390516
21,,A,016,,016 A,16,,,5172.15584076197,1122472.04852847,5172.1558389889,1122472.04936858
22,,B,016,,016 B,16,,,9256.3353849989,2988479.95509837,9256.33538683498,2988479.95880291
23,,C,016,,016 C,16,,,5250.67744215648,1489783.72457358,5250.67743576849,1489783.72467441
24,,A,015,,015 A,15,,,4677.94513700623,694115.726392337,4677.94514545684,694115.72452076
25,,E,015,,015 E,15,,,4393.4880791115,862980.83217111,4393.48808143323,862980.832438378
26,,C,015,,015 C,15,,,5318.87475493598,757017.478923819,5318.87473473039,757017.477749657
27,,D,015,,015 D,15,,,3375.30258761241,638512.705327835,3375.30259647441,638512.706212735
28,,B,015,,015 B,15,,,3649.69659713,619555.725771434,3649.69658656269,619555.727733316
29,,C,036,,036 C,36,,,2708.36798747457,355806.362127748,2708.36799801299,355806.362526937
30,,B,036,,036 B,36,,,3275.69044110437,366288.263075589,3275.69046459076,366288.263856179
31,,A,036,,036 A,36,,,3797.93249835858,696970.445388958,3797.93248530602,696970.445550589
32,,C,043,,043 C,43,,,10174.0392269435,1854009.12093665,10174.0392162653,1854009.1223963
33,,A,043,,043 A,43,,,4331.71829811273,704679.849387778,4331.71830494044,704679.848298489
34,,B,043,,043 B,43,,,8206.70723409312,1881039.76757193,8206.707275646,1881039.76711227
35,,D,022,,022 D,22,,,4456.34363993168,1014432.01010093,4456.34364594217,1014432.01328758
36,,C,022,,022 C,22,,,5063.69688488643,1269233.96480178,5063.69687345912,1269233.96541105
