LATITUDE,LONGITUDE,FULLADDRESS,ZIPCODE,ASSESSMENT_NBHD,CLUSTER_,WARD,Units,Residential
38.8688316,-77.01825188,221 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746
38.867563399999995,-77.01823116,241 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746
38.90749873,-76.94332398,4300 ANACOSTIA AVENUE NE,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0
38.87882265,-76.97541985,1900 M STREET SE,20003,Anacostia Park,Cluster 26,Ward 6,16,0.0
38.87269412,-76.99086222,1105 O STREET SE,20003,Anacostia Park,Cluster 27,Ward 6,16,0.0
38.90756232,-76.97813366,1301 BLADENSBURG ROAD NE,20002,National Arboretum,Cluster 23,Ward 5,22,0.0
38.87004386,-77.0182311,201 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746
38.86907681,-77.01822728,217 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746
38.86805247,-77.01823796,233 2ND AVENUE SW,20024,Ft. McNair,Cluster 9,Ward 6,59,0.2033898305084746
38.88364235,-76.97273804,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88363994,-76.97403835,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88393585,-76.97276225,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88504451,-76.97276182,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88450374,-76.97275857,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88566175,-76.97426709999999,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88533259,-76.97272345,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88635731,-76.97398861,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88603647,-76.97295958,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88514257,-76.97374920000001,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88617556,-76.97538989,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88431176,-76.97391986,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.88521638,-76.97557624,,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
38.9124031,-76.96989039,3501 NEW YORK AVENUE NE,20002,National Arboretum,,Ward 5,22,0.0
38.91262689,-76.94181625,1550 ANACOSTIA AVENUE NE,20019,DC Stadium Area,Cluster 29,Ward 7,57,0.0
38.88271416,-76.97573362,1901 E STREET SE,20003,DC Stadium Area,Cluster 26,Ward 7,57,0.0
