name,number
AMERICAN UNIV. PARK ,000
ANACOSTIA   ,001
BARRY FARMS  ,002
BERKLEY   ,003
BRENTWOOD   ,004
BRIGHTWOOD   ,005
BROOKLAND   ,006
BURLEITH   ,007
CAPITOL HILL  ,008
CENTRAL   ,009
CHEVY CHASE  ,0010
CHILLUM   ,0011
CLEVELAND PARK  ,0012
COLONIAL VILLAGE  ,0013
COLUMBIA HEIGHTS  ,0014
CONGRESS HEIGHTS  ,0015
CRESTWOOD   ,0016
DEANWOOD   ,0017
ECKINGTON   ,0018
FOGGY BOTTOM  ,0019
FOREST HILLS  ,0020
FORT DUPONT PARK ,0021
FOXHALL   ,0022
GARFIELD   ,0023
GEORGETOWN   ,0024
GLOVER PARK  ,0025
HAWTHORNE   ,0026
HILLCREST   ,0027
KALORAMA   ,0028
KENT   ,0029
LEDROIT PARK  ,0030
LILY PONDS  ,0031
MARSHALL HEIGHTS  ,0032
MASS. AVE. HEIGHTS ,0033
MICHIGAN PARK  ,0034
MOUNT PLEASANT  ,0035
N. CLEVELAND PARK ,0036
OBSERVATORY CIRCLE  ,0037
OLD CITY I ,0038
OLD CITY II ,0039
PALISADES   ,0040
PETWORTH   ,0041
RANDLE HEIGHTS  ,0042
NOMA   ,0043
SW WATERFRONT  ,0044
RIGGS PARK  ,0045
SHEPHERD PARK  ,0046
16TH ST. HEIGHTS ,0047
SPRING VALLEY  ,0048
TAKOMA   ,0049
TRINIDAD   ,0050
WAKEFIELD   ,0051
WESLEY HEIGHTS  ,0052
WOODLEY   ,0053
WOODRIDGE   ,0054
RAIL ROAD TRACKS ,0055
N. ROCK CREEK PARK,0056
NATL. ZOO  ,0057
S. ROCK CREEK PARK,0058
N. ANACOSTIA PARK ,0059
S. ANACOSTIA PARK ,0060
NATIONAL ARBORETUM  ,0061
FORT LINCOLN  ,0062
ST. ELIZABETHS HOSPITAL ,0063
BOLLING AFB & NAVAL,0064
D.C. VILLAGE  ,0065
FORT DRIVE  ,0066
GLOVER-ARCHBOLD PWY  ,0067
MALL   ,0068
WASHINGTON NAVY YARD ,0069
